Date,Product,Region,Sales,Customer_Feedback
2023-03-25,Зубная нить,Север,203,"Очень понравился вкус, рекомендую"
2023-03-26,Зубная нить,Юг,47,"Хорошее качество, но ожидал большего эффекта"
2023-03-27,Ортопедические вставки,Запад,64,"Отличное качество, довольны покупкой"
2023-03-28,Ополаскиватель для рта,Север,118,"Цена оправдана качеством, доволен покупкой"
2023-03-29,Зубная паста,Запад,186,"Цена оправдана качеством, доволен покупкой"
2023-03-30,Ополаскиватель для рта,Юг,99,"Отлично, быстро расходуется и эффективно"
2023-03-31,Ортопедические вставки,Центр,226,"Хорошее качество, но ожидал большего эффекта"
2023-04-01,Зубная паста,Север,259,"Хорошее качество, но ожидал большего эффекта"
2023-04-02,Зубная паста,Запад,296,Очень хороший эффект после использования
2023-04-03,Зубная нить,Центр,227,"Цена оправдана качеством, доволен покупкой"
2023-04-04,Ортопедические вставки,Юг,58,"Нейтральный отзыв, стандартный продукт"
2023-04-05,Зубная паста,Центр,49,"Нейтральный отзыв, работает как ожидалось"
2023-04-06,Зубная нить,Восток,227,Очень хороший эффект после использования
2023-04-07,Электрическая зубная щётка,Восток,121,"Очень понравился вкус, рекомендую"
2023-04-08,Ортопедические вставки,Центр,90,"Проблемы с зарядкой, но в целом нормальная"
2023-04-09,Ополаскиватель для рта,Юг,159,"Хорошее качество, но ожидал большего эффекта"
2023-04-10,Электрическая зубная щётка,Север,111,"Очень понравился вкус, рекомендую"
2023-04-11,Ортопедические вставки,Юг,224,Очень хороший эффект после использования
2023-04-12,Ополаскиватель для рта,Восток,51,"Отлично, быстро расходуется и эффективно"
2023-04-13,Зубная паста,Север,180,"Нейтральный отзыв, работает как ожидалось"
2023-04-14,Зубная нить,Восток,258,"Цена оправдана качеством, доволен покупкой"
2023-04-15,Электрическая зубная щётка,Юг,100,"Нейтральный отзыв, работает как ожидалось"
2023-04-16,Электрическая зубная щётка,Восток,177,"Цена оправдана качеством, доволен покупкой"
2023-04-17,Зубная нить,Юг,85,"Нейтральный отзыв, работает как ожидалось"
2023-04-18,Электрическая зубная щётка,Север,50,"Нейтральный отзыв, стандартный продукт"
2023-04-19,Ополаскиватель для рта,Восток,234,"Хороший выбор, но цена немного завышена"
2023-04-20,Ортопедические вставки,Север,87,"Хороший выбор, но цена немного завышена"
2023-04-21,Ортопедические вставки,Восток,223,"Отличное качество, довольны покупкой"
2023-04-22,Зубная паста,Центр,55,"Нейтральный отзыв, стандартный продукт"
2023-04-23,Электрическая зубная щётка,Юг,106,"Хорошее качество, но ожидал большего эффекта"
2023-04-24,Электрическая зубная щётка,Запад,210,"Хорошее качество, но ожидал большего эффекта"
2023-04-25,Зубная нить,Восток,93,"Хорошее качество, но ожидал большего эффекта"
2023-04-26,Зубная нить,Юг,181,"Нейтральный отзыв, работает как ожидалось"
2023-04-27,Ортопедические вставки,Запад,168,"Хороший выбор, но цена немного завышена"
2023-04-28,Ортопедические вставки,Запад,186,"Хорошее качество, но ожидал большего эффекта"
2023-04-29,Зубная паста,Юг,132,"Нейтральный отзыв, работает как ожидалось"
2023-04-30,Электрическая зубная щётка,Восток,300,"Нейтральный отзыв, работает как ожидалось"
2023-05-01,Зубная паста,Север,109,"Очень понравился вкус, рекомендую"
2023-05-02,Зубная нить,Центр,172,"Цена оправдана качеством, доволен покупкой"
2023-05-03,Ополаскиватель для рта,Юг,56,"Нейтральный отзыв, стандартный продукт"
2023-05-04,Ополаскиватель для рта,Юг,164,"Цена оправдана качеством, доволен покупкой"
2023-05-05,Зубная нить,Север,239,"Нейтральный отзыв, стандартный продукт"
2023-05-06,Электрическая зубная щётка,Центр,202,"Хорошее качество, но ожидал большего эффекта"
2023-05-07,Зубная паста,Запад,269,"Очень понравился вкус, рекомендую"
2023-05-08,Зубная паста,Запад,44,"Цена оправдана качеством, доволен покупкой"
2023-05-09,Ортопедические вставки,Запад,74,"Отлично, быстро расходуется и эффективно"
2023-05-10,Ортопедические вставки,Запад,97,"Хорошее качество, но ожидал большего эффекта"
2023-05-11,Ортопедические вставки,Юг,210,"Отличное качество, довольны покупкой"
2023-05-12,Ортопедические вставки,Запад,148,"Отлично, быстро расходуется и эффективно"
2023-05-13,Зубная нить,Север,57,"Хорошее качество, но ожидал большего эффекта"
2023-05-14,Ортопедические вставки,Запад,237,"Проблемы с зарядкой, но в целом нормальная"
2023-05-15,Ортопедические вставки,Восток,117,"Нейтральный отзыв, работает как ожидалось"
2023-05-16,Зубная нить,Юг,160,"Очень понравился вкус, рекомендую"
2023-05-17,Зубная паста,Север,77,"Очень понравился вкус, рекомендую"
2023-05-18,Электрическая зубная щётка,Запад,150,"Отличное качество, довольны покупкой"
2023-05-19,Зубная нить,Восток,70,"Очень понравился вкус, рекомендую"
2023-05-20,Зубная нить,Север,247,"Нейтральный отзыв, стандартный продукт"
2023-05-21,Ополаскиватель для рта,Север,264,"Нейтральный отзыв, работает как ожидалось"
2023-05-22,Ортопедические вставки,Юг,140,"Проблемы с зарядкой, но в целом нормальная"
2023-05-23,Электрическая зубная щётка,Запад,240,"Нейтральный отзыв, стандартный продукт"
2023-05-24,Ортопедические вставки,Запад,94,"Проблемы с зарядкой, но в целом нормальная"
2023-05-25,Ортопедические вставки,Север,286,"Проблемы с зарядкой, но в целом нормальная"
2023-05-26,Электрическая зубная щётка,Восток,171,"Отличное качество, довольны покупкой"
2023-05-27,Зубная нить,Центр,174,"Нейтральный отзыв, стандартный продукт"
2023-05-28,Ополаскиватель для рта,Центр,92,"Нейтральный отзыв, работает как ожидалось"
2023-05-29,Зубная паста,Юг,274,"Очень понравился вкус, рекомендую"
2023-05-30,Зубная паста,Север,51,"Цена оправдана качеством, доволен покупкой"
2023-05-31,Ополаскиватель для рта,Запад,117,"Нейтральный отзыв, стандартный продукт"
2023-06-01,Зубная нить,Восток,170,"Хороший выбор, но цена немного завышена"
2023-06-02,Зубная паста,Запад,166,"Цена оправдана качеством, доволен покупкой"
2023-06-03,Ортопедические вставки,Запад,201,"Нейтральный отзыв, работает как ожидалось"
2023-06-04,Электрическая зубная щётка,Север,108,"Очень понравился вкус, рекомендую"
2023-06-05,Ортопедические вставки,Юг,158,Очень хороший эффект после использования
2023-06-06,Зубная нить,Юг,71,"Хороший выбор, но цена немного завышена"
2023-06-07,Зубная паста,Запад,285,"Проблемы с зарядкой, но в целом нормальная"
2023-06-08,Электрическая зубная щётка,Север,43,"Проблемы с зарядкой, но в целом нормальная"
2023-06-09,Ополаскиватель для рта,Восток,281,"Очень понравился вкус, рекомендую"
2023-06-10,Зубная нить,Запад,69,"Отличное качество, довольны покупкой"
2023-06-11,Электрическая зубная щётка,Север,116,"Цена оправдана качеством, доволен покупкой"
2023-06-12,Электрическая зубная щётка,Север,140,"Нейтральный отзыв, стандартный продукт"
2023-06-13,Ортопедические вставки,Север,102,"Очень понравился вкус, рекомендую"
